id,title,intro,poster,pubdate,url,rating,genres,star,comment,tags,star_time,card
27086744,天意,三代禅让。商汤伐桀，宗周革命，春秋战国……秦失其鹿。天下英雄共逐之！然而又有谁能想到这“其兴也勃焉，其亡也忽焉”的王朝更替背后，竟有一股神秘力量在操纵。在大秦帝国即将崩溃的前夜，淮阴韩信虽然才高八斗，学富五车，身怀治国平天下之策，却无人赏识。潦倒中，一位神秘的黑衣人出现在他面前，与他达成一个魔鬼交易。历史之轮自此徐徐转动，隐秘于上古神话中的黑手渐渐露出它庞大的身影，而韩信亦踏上逐鹿中原的征战之途。历史会按照黑衣人的计划再度重演吗？那个注定要在史书中以“名将”相称的年轻人.--韩信，会屈从于黑衣人的意志吗？在历史之轮停止前，没有人知道答案。,https://dou.img.lithub.cc/book/27086744.jpg,2017-8,https://book.douban.com/subject/27086744/,7.6,,5,,,2023-09-02 12:31:46,钱莉芳 / 2017 / 北京联合出版公司
27065016,天命,"上至尧舜，下迄周秦，皆有史料留存，为何商朝六百年统治，历史却几近空白？
世传孔子删《诗》，然而又有谁知道，孔子删去的，正是他所窥破的这个世界的真相！
十日并出，洪水肆虐，北海归墟，天命玄鸟……远古时代，一次次拯救这个世界的神祇族，究竟来自哪里？
大汉，长安城北，柏梁台离奇失火，曾招来李夫人魂魄的石镜失踪，而石镜上的文字，竟出自普天下儒生都读过的《诗经》！窃镜的郎将卫律潜逃至匈奴，获封丁零王。
随后，栘园厩总监苏武，突然被皇帝征召加封，出使匈奴！殊不知，他真正的命运之轮，自此开始缓缓转动，并将把他拖进一个极其庞大、离奇到难以置信的事件中去……历史之轮，正在徐徐转动……",https://dou.img.lithub.cc/book/27065016.jpg,2017-6,https://book.douban.com/subject/27065016/,8,,5,,,2023-09-02 12:31:19,钱莉芳 / 2017 / 浙江人民出版社
1192090,球状闪电,"在某个离奇的雨夜，一颗球状闪电闯进了少年的视野。它的啸叫低沉中透着尖利，像是一个鬼魂在太古的荒原上吹着埙。当鬼魂奏完乐曲，球状闪电在一瞬间将少年的父母化为灰烬，而他们身下板凳却是奇迹般的冰凉。
这一夜，少年的命运被彻底改变了，他将毕其一生去解开那个将他变成孤儿的自然之谜。但是他未曾想到，多年以后，单纯的自然科学研究被纳入进“新概念武器”开发计划，他所追寻的球状闪电变成了下一场战争中决定祖国生存或是灭亡的终极武器！
当被禁锢在终极武器中的大自然的伟力被释放时，一轮冰冷的“蓝太阳”升起在大西部的戈壁滩上，整个戈壁淹没在它的蓝光中，这个世界变得陌生而怪异。一个从未有人想像过的未来，在宇宙观测者的注视下，降临在人类面前……",https://dou.img.lithub.cc/book/1192090.jpg,2005-6,https://book.douban.com/subject/1192090/,8.7,,4,,,2023-09-02 12:30:39,刘慈欣 / 2005 / 四川科学技术出版社
26586492,火星救援,"极客宅男作家安迪·威尔的逆袭，美国自出版史上的奇迹
征服科技宅男与家庭主妇，科青、文青同样爱不释手
每个人都会爱、都能懂的科幻小说，就是它了！
马克·沃特尼成为了第一批行走在火星上的人。如今，他也将成为第一个葬身火星的人。
一场突如其来的风暴让阿瑞斯三船员被迫放弃任务。撤离过程中，沃特尼遭遇意外，被孤身一人丢在了这片寸草不生的红色荒漠中，剩余的补给也远不够撑到救援可能抵达的那一天。
当然，沃特尼也不准备 坐以待毙，凭借着他的植物学家和机械工程师背景，他决定跟火星来一场不是你死就是我活的过家家游戏。",https://dou.img.lithub.cc/book/26586492.jpg,2015-10,https://book.douban.com/subject/26586492/,8.9,,5,,,2023-09-02 12:30:06,[美] 安迪·威尔 / 2015 / 译林出版社
2567698,三体,"文化大革命如火如荼进行的同时。军方探寻外星文明的绝秘计划“红岸工程”取得了突破性进展。但在按下发射键的那一刻，历经劫难的叶文洁没有意识到，她彻底改变了人类的命运。地球文明向宇宙发出的第一声啼鸣，以太阳为中心，以光速向宇宙深处飞驰……
四光年外，“三体文明”正苦苦挣扎——三颗无规则运行的太阳主导下的百余次毁灭与重生逼迫他们逃离母星。而恰在此时。他们接收到了地球发来的信息。在运用超技术锁死地球人的基础科学之后。三体人庞大的宇宙舰队开始向地球进发……
人类的末日悄然来临。",https://dou.img.lithub.cc/book/2567698.jpg,2008-1,https://book.douban.com/subject/2567698/,8.9,,5,,,2022-07-01 00:51:02,刘慈欣 / 2008 / 重庆出版社
1003000,悟空传,猪八戒和孙悟空虽然都神通广大，但在命运面前终究是软弱无力的小人物。顶天立地的美猴王实际上仍然是那个充满惊恐的小猴子，而决心与命运抗争的天蓬若非紧急也终究不肯以猪的面目见阿月。神仙尚且如此，何况吾辈生来渺小的小人物呢？随着年纪的增长，少年时素怀的“愿乘长风破万里浪”的豪情 壮志早已经烟消云散，只剩下一个行尸走肉的家伙还在苟延残喘。自己何尝不是一只因为知道自己身份而在午夜对月痛哭的猪啊！但他们最终战胜了命运，而我呢？,https://dou.img.lithub.cc/book/1003000.jpg,2001-4,https://book.douban.com/subject/1003000/,8.3,,3,,,2019-12-19 15:09:47,今何在 / 2001 / 光明日报出版社
1041482,万历十五年,"万历十五年，亦即公元1587年，在西欧历史上为西班牙舰队全部出动征英的前一年；而在中国，这平平淡淡的一年中，发生了若干为历史学家所易于忽视的事件。这些事件，表面看来虽似末端小节，但实质上却是以前发生大事的症结，也是将在以后掀起波澜的机缘。在历史学家黄仁宇的眼中，其间的关系因果，恰为历史的重点，而我们的大历史之旅，也自此开始……
《万历十五年》是黄仁宇的成名之作，也是他的代表作之一。这本书融会了他数十年人生经历与治学体会，首次以“大历史观”分析明代社会之症结，观察现代中国之来路，给人启发良多。英文原本推出后，被美国多所大学采用为教科书，并两次获得美国书卷奖历史类好书的提名。",https://dou.img.lithub.cc/book/1041482.jpg,1997-5,https://book.douban.com/subject/1041482/,9,,4,,,2019-10-08 00:34:01,[美] 黄仁宇 / 1997 / 生活·读书·新知三联书店
10738023,了不起的盖茨比,"★ 20世纪全球百部英语小说第2名
★ 村上春树最爱的书
★ 村上春树万字长文导读
★ 全新译本完美呈现原著魅力
★ 如果没有与《了不起的盖茨比》相遇，我写出来的小说会与现在完全不同，或者也许什么都不写。——村上春树
★《了不起的盖茨比》建立在“幻象的破灭”上。正因这样的幻象，世界才如此鲜艳。你无需理会真假，但求沾染那份魔术般的光彩就是了。——菲茨杰拉德
中西部小子盖茨比到东部闯荡一夕致富，他在自己的豪宅夜夜宴客，俨然慷慨荒唐的富豪大亨；他梦幻地看着纽约长岛上一座闪着绿光的灯塔，寻觅着梦寐以求的女人黛西。邻居尼克，眼看着盖茨比的宾客们接受他的招待却冷漠无情，眼看着盖茨比奋力追求那腐败的虚华。盖兹比最后的结局，让尼克对东部浮华的名流生活梦碎，宛如看着繁华楼起再看着它楼塌。",https://dou.img.lithub.cc/book/10738023.jpg,2012-5,https://book.douban.com/subject/10738023/,8.7,,5,,"美国梦,幻灭,经典,外国文学",2019-02-02 22:31:12,[美] 斯科特·菲茨杰拉德 / 2012 / 南海出版公司
26768309,查令十字街84号,"纪念作者诞辰一百周年（1916.4.15-2016.4.15）
中文世界首次推出精装珍藏版
译者陈建铭修订数十处译文，精益求精
读库御用设计师艾莉女士担纲设计
内文一百克玉龙纯质纸双色印刷
世界最大圣经印刷厂南京爱德，为爱书人印制圣经
2016中文精装珍藏版将会是最美的版本！
---------------------------------------------------------------------------
1949年的纽约，曼哈顿一间没有暖气的公寓里，三十三岁的穷作家海莲，偶然看到一则伦敦旧书店的广告，凭着一股莽撞劲，她开始给这个伦敦地址写信。这一写，就写了二十年。
很多年后，她和这家书店的通信集，被称为“爱书人的圣经”，不断演绎。而那家书店的地址——查令十字街84号，已经成为全球爱书人之间的一个暗号。
三十多年来，人们读它、写它、演它，在这段传奇里彼此问候，相互取暖。",https://dou.img.lithub.cc/book/26768309.jpg,2016-5,https://book.douban.com/subject/26768309/,8.2,,5,,"文学,书信",2019-02-02 22:29:11,[美] 海莲·汉芙 / 2016 / 译林出版社
26775800,寄给与我相同的灵魂,"1993年，一个星期天的清晨，老伍被电话吵醒，风靡全英国的古典音乐电台主持人兴奋地告诉他，他所写的笔友故事获得最浪漫情书奖，这也是他一生中得过的所有奖项里最为特别的一个。彼时，老伍已经是英国皇家航空学会院士，在他身旁，故事的女主角，成为他妻子已有20年的明月正在安然熟睡。
这是一对跨国笔友的传奇爱情，在上个世纪60年代，一张又一张薄薄的信笺，靠邮递漂洋过海，机缘巧合地促成这段旷世情缘，诉说两个性格截然不同的人，如何牵动彼此的生命，记载香港、马来西亚和英国的文化交汇，回溯20世纪一代普通人的流金岁月。
那是车、马、邮件都慢，互联网还远未称霸的年代。
不眠不休地写信，为了能在清晨五点准时投入邮筒；对着槟城地图，用行军思路规划水路“进攻”；为信件设计一套可量化的评分标准，把分数绘成图表，就能直观看到两人的关系趋势……这一切回忆都构筑得太艰难了，所以更懂珍惜，花费了太漫长的时间，所以也来不及爱上别人。老伍17岁到英国求学，从未离开槟城的明月毅然相随，两人在英国秘密结婚，育有两子一女，都由华罗庚起名。至此，少年之梦落幕，崭新的生活徐徐拉开。
时间没有放过任何人，在50年之后，传奇已成历史，少年之心却从未消退。这本书更像是一份证明，坦诚记录曾经的少不更事、欢乐和成长；表达对过错的真诚歉疚；见证那些随岁月流逝的美好和欢愉，  无论世事如何变迁，生活个中滋味尝尽，他们始终都是彼此忠贞不渝的灵魂伴侣。",https://dou.img.lithub.cc/book/26775800.jpg,2015-5-1,https://book.douban.com/subject/26775800/,8.2,,5,,"文学,真挚感人,爱情,书信",2019-02-02 22:28:22,伍丹农 / 2015 / 中信出版社
